Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 1000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 5620
Event count: 5620000000

Overhead  Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
16.62%    Chrome_InProcGp               29627  29705  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       read
9.52%     RenderThread                  29627  29652  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       read
7.35%     Chrome_InProcGp               29627  29705  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       write
2.24%     RenderThread                  29627  29652  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       write
1.85%     RenderThread                  29627  29652  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __ioctl
0.41%     RenderThread                  29627  29652  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       syscall
0.39%     com.professionballarena.game  29627  29627  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __sendto
0.36%     com.professionballarena.game  29627  29627  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       write
0.34%     RenderThread                  29627  29652  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __close
0.34%     com.professionballarena.game  29627  29627  /apex/com.android.art/lib64/libart.so                                                                                                                                artQuickGenericJniTrampoline
0.32%     com.professionballarena.game  29627  29627  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __ioctl
0.30%     com.professionballarena.game  29627  29627  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __epoll_pwait
0.25%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2c967cc]
0.25%     Jit thread pool               29627  29633  [vdso]                                                                                                                                                               __kernel_clock_gettime
0.25%     com.professionballarena.game  29627  29627  [JIT app cache]                                                                                                                                                      art_jni_trampoline
