Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 1000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 5620
Event count: 5620000000

Children,Self,Command,Pid,Tid,Shared Object,Symbol,AccEventCount,SelfEventCount,EventName
47.51%,0.00%,Chrome_InProcGp,29627,29705,/apex/com.android.runtime/lib64/bionic/libc.so,__pthread_start(void*) (.__uniq.67847048707805468364044055584648682506),2670000000,0,cpu-clock
47.51%,0.00%,Chrome_InProcGp,29627,29705,/apex/com.android.runtime/lib64/bionic/libc.so,__start_thread,2670000000,0,cpu-clock
47.51%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+50136d4],2670000000,0,cpu-clock
47.51%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+503f7b0],2670000000,0,cpu-clock
47.51%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5058990],2670000000,0,cpu-clock
47.51%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+5058af8],2670000000,0,cpu-clock
47.51%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+50660c0],2670000000,0,cpu-clock
47.38%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+4fefdc8],2663000000,0,cpu-clock
47.33%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+502a298],2660000000,0,cpu-clock
47.33%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+503f0b8],2660000000,0,cpu-clock
