Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Overhead  Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
28.95%    Chrome_InProcGp               27744  27829  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       read
8.18%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       read
2.12%     Chrome_InProcGp               27744  27829  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       write
1.89%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       write
1.16%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __ioctl
0.63%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __ioctl
0.60%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                artQuickGenericJniTrampoline
0.57%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __sendto
0.49%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.49%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       write
0.47%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       syscall
0.35%     Chrome_IOThread               27744  27803  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __epoll_pwait
0.35%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __strcmp_aarch64
0.31%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       syscall
0.31%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __close
0.31%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __epoll_pwait
0.28%     Chrome_IOThread               27744  27803  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __recvmsg
0.28%     com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      art_jni_trampoline
0.24%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                void art::interpreter::ExecuteSwitchImplCpp<false>(art::interpreter::SwitchImplContext*)
0.23%     VizWebView                    27744  27823  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       syscall
0.22%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       recvfrom
0.22%     com.professionballarena.game  27744  27744  /system/lib64/libutils.so                                                                                                                                            android::Looper::pollOnce(int, int*, int*, void**)
0.21%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __memset_aarch64
0.20%     Chrome_InProcGp               27744  27829  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       syscall
0.20%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __vfprintf
0.20%     Profile Saver                 27744  27768  /apex/com.android.art/lib64/libart.so                                                                                                                                void art::ProfileSaver::GetClassesAndMethodsHelper::CollectInternal<false>(art::ObjPtr<art::mirror::ClassLoader>)
